id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1383295895043600384,1383295895043600384,2021-04-17 08:46:56 Jerusalem Daylight Time,2021-04-17,08:46:56,+0300,44196397,elonmusk,Elon Musk,,Dragon spacecraft &amp; Falcon 9 rocket  https://t.co/A6fsNlsN9z,en,[],[],['https://pbs.twimg.com/media/EzJ0Qs2VIAM8g6e.jpg'],7104,12787,175432,[],[],https://twitter.com/elonmusk/status/1383295895043600384,False,,1,https://pbs.twimg.com/media/EzJ0Qs2VIAM8g6e.jpg,,,,,,,[],,,,
1383281856984936450,1383280704042127363,2021-04-17 07:51:09 Jerusalem Daylight Time,2021-04-17,07:51:09,+0300,44196397,elonmusk,Elon Musk,,@WhatsupFranks Great progress by Tesla team,en,[],[],[],220,246,6378,[],[],https://twitter.com/elonmusk/status/1383281856984936450,False,,0,,,,,,,,"[{'screen_name': 'WhatsupFranks', 'name': 'franks&beans', 'id': '724771370131824641'}]",,,,
1383280704042127363,1383280704042127363,2021-04-17 07:46:34 Jerusalem Daylight Time,2021-04-17,07:46:34,+0300,44196397,elonmusk,Elon Musk,,"If we make life multiplanetary, there may come a day when some plants &amp; animals die out on Earth, but are still alive on Mars",en,[],[],[],11793,14932,176934,[],[],https://twitter.com/elonmusk/status/1383280704042127363,False,,0,,,,,,,,[],,,,
1383273199211667457,1383186564772077571,2021-04-17 07:16:45 Jerusalem Daylight Time,2021-04-17,07:16:45,+0300,44196397,elonmusk,Elon Musk,,@neuralink @shivon Great review! Neuralink is open to working with neuroscientists to advance the field.   Short-term goal is addressing brain &amp; spine problems.   Ultimate goal is symbiosis of human &amp; machine intelligence.,en,[],[],[],436,832,9230,[],[],https://twitter.com/elonmusk/status/1383273199211667457,False,,0,,,,,,,,"[{'screen_name': 'neuralink', 'name': 'Neuralink', 'id': '895332160130891776'}, {'screen_name': 'shivon', 'name': 'Shivon Zilis', 'id': '446719282'}]",,,,
1383233200885882885,1383233200885882885,2021-04-17 04:37:48 Jerusalem Daylight Time,2021-04-17,04:37:48,+0300,44196397,elonmusk,Elon Musk,,Everything to the moon!,en,[],[],[],25860,56088,449127,[],[],https://twitter.com/elonmusk/status/1383233200885882885,False,,0,,,,,,,,[],,,,
1383182615411232770,1383177151541743621,2021-04-17 01:16:48 Jerusalem Daylight Time,2021-04-17,01:16:48,+0300,44196397,elonmusk,Elon Musk,,We are honored to be part of the @NASAArtemis team,en,"[{'screen_name': 'nasaartemis', 'name': 'nasa’s artemis program', 'id': '632344577'}]",[],[],1950,2933,63239,[],[],https://twitter.com/elonmusk/status/1383182615411232770,False,,0,,,,,,,,[],,,,
1383177151541743621,1383177151541743621,2021-04-17 00:55:05 Jerusalem Daylight Time,2021-04-17,00:55:05,+0300,44196397,elonmusk,Elon Musk,,🚀🖤💫 NASA Rules!! 💫🖤🚀,tl,[],[],[],6792,16117,168811,[],[],https://twitter.com/elonmusk/status/1383177151541743621,False,https://twitter.com/spacex/status/1383160370248896512,0,,,,,,,,[],,,,
1383103246470811652,1284291528328790016,2021-04-16 20:01:25 Jerusalem Daylight Time,2021-04-16,20:01:25,+0300,44196397,elonmusk,Elon Musk,,👀,und,[],[],[],12427,24733,234090,[],[],https://twitter.com/elonmusk/status/1383103246470811652,False,,0,,,,,,,,[],,,,
1382879908645392384,1382879908645392384,2021-04-16 05:13:57 Jerusalem Daylight Time,2021-04-16,05:13:57,+0300,44196397,elonmusk,Elon Musk,,🎸🎸 Austin Rocks!! 🎸 🎸,en,[],[],[],10237,9394,157441,[],[],https://twitter.com/elonmusk/status/1382879908645392384,False,,0,,,,,,,,[],,,,
1382876456401833989,1382871347341168644,2021-04-16 05:00:14 Jerusalem Daylight Time,2021-04-16,05:00:14,+0300,44196397,elonmusk,Elon Musk,,@Model3Owners Same with Berlin,en,[],[],[],218,179,3849,[],[],https://twitter.com/elonmusk/status/1382876456401833989,False,,0,,,,,,,,"[{'screen_name': 'Model3Owners', 'name': 'Tesla Owners Online', 'id': '704835627183788032'}]",,,,
1382876290663927808,1382871347341168644,2021-04-16 04:59:34 Jerusalem Daylight Time,2021-04-16,04:59:34,+0300,44196397,elonmusk,Elon Musk,,"@Model3Owners Limited production of Model Y this year, high volume next year",en,[],[],[],242,218,4439,[],[],https://twitter.com/elonmusk/status/1382876290663927808,False,,0,,,,,,,,"[{'screen_name': 'Model3Owners', 'name': 'Tesla Owners Online', 'id': '704835627183788032'}]",,,,
1382874560433778695,1382871347341168644,2021-04-16 04:52:42 Jerusalem Daylight Time,2021-04-16,04:52:42,+0300,44196397,elonmusk,Elon Musk,,"@Model3Owners I was just there, driving Cybertruck around the site where it will be built!",en,[],[],[],774,807,17110,[],[],https://twitter.com/elonmusk/status/1382874560433778695,False,,0,,,,,,,,"[{'screen_name': 'Model3Owners', 'name': 'Tesla Owners Online', 'id': '704835627183788032'}]",,,,
1382858937792307202,1382858937792307202,2021-04-16 03:50:37 Jerusalem Daylight Time,2021-04-16,03:50:37,+0300,44196397,elonmusk,Elon Musk,,Make life multiplanetary! #Mars,en,[],[],[],14698,28867,310367,['mars'],[],https://twitter.com/elonmusk/status/1382858937792307202,False,,0,,,,,,,,[],,,,
1382842277719003136,1382748455341322242,2021-04-16 02:44:25 Jerusalem Daylight Time,2021-04-16,02:44:25,+0300,44196397,elonmusk,Elon Musk,,"@Erdayastronaut @thesheetztweetz Yeah, should be fully mobile later this year, so you can move it anywhere or use it on an RV or truck in motion. We need a few more satellite launches to achieve compete coverage &amp; some key software upgrades.",en,[],[],[],439,557,8031,[],[],https://twitter.com/elonmusk/status/1382842277719003136,False,,0,,,,,,,,"[{'screen_name': 'Erdayastronaut', 'name': 'Everyday Astronaut', 'id': '3167257102'}, {'screen_name': 'thesheetztweetz', 'name': 'Michael Sheetz', 'id': '1231406720'}]",,,,
1382839546484641794,1382748455341322242,2021-04-16 02:33:34 Jerusalem Daylight Time,2021-04-16,02:33:34,+0300,44196397,elonmusk,Elon Musk,,"@thesheetztweetz This is accurate. Service uptime, bandwidth &amp; latency are improving rapidly. Probably out of beta this summer.",en,[],[],[],416,370,8205,[],[],https://twitter.com/elonmusk/status/1382839546484641794,False,,0,,,,,,,,"[{'screen_name': 'thesheetztweetz', 'name': 'Michael Sheetz', 'id': '1231406720'}]",,,,
1382803612829581317,1382369145820303366,2021-04-16 00:10:47 Jerusalem Daylight Time,2021-04-16,00:10:47,+0300,44196397,elonmusk,Elon Musk,,@sadiaslayy @DogecoinBets 😮,und,[],[],[],1302,3615,40340,[],[],https://twitter.com/elonmusk/status/1382803612829581317,False,,0,,,,,,,,"[{'screen_name': 'sadiaslayy', 'name': 'Sadia', 'id': '1267327388796387328'}, {'screen_name': 'DogecoinBets', 'name': 'DogecoinBets', 'id': '1354869182765150210'}]",,,,
